bucket,destination,source,date,firm,reason,sha256
confirmed,Invoices_hotel/2025/03/2025-03-28-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER11.pdf,2025-03-28,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,e83da760b742f4270088e227297ca15d064f368e39f25a2e05cac9a12cc8c356
confirmed,Invoices_hotel/2025/05/2025-05-22-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER17.pdf,2025-05-22,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,9dcc0fdef8504fb46481ee8408a87ac5318a6f2ac52c4d2f88cea8d09757af3a
confirmed,Invoices_hotel/2025/02/2025-02-06-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER5.pdf,2025-02-06,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,27bd3af75ef6f9b0d2ca63f43e1085de5228c3c50e9e0c4aa936725b3b5c8bd1
confirmed,Invoices_hotel/2025/03/2025-03-21-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER10.pdf,2025-03-21,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,5195f210f48c4145eeba7f8095e987307a87cf691d032242a165b571c0242a63
maybe,maybe/2025/07/2025-07-01-AjoieSpa.pdf,/home/seb/IdeaProjects/test/all-mails/freetobook.com/AjoieSpa _noreply@freetobook.com_/2025/07/1/=_UTF-8_Q_D=C3=A9tails-De-La-R=C3=A9servation-WTB1868F6D.pdf_=,2025-07-01,AjoieSpa,stay-related confirmation/reservation,64f8297c28eac25bccfe975ae749817128b9882a21b339add9937f8a689205b4
confirmed,Invoices_hotel/2025/07/2025-07-01-AjoieSpa.html,/home/seb/IdeaProjects/test/all-mails/freetobook.com/AjoieSpa _noreply@freetobook.com_/2025/07/1/body.html,2025-07-01,AjoieSpa,document says Booking Invoice,049b8247702c5f9d5905e666c471540bb0ecadbc43396110e8498b9e1d6a881d
maybe,maybe/2025/09/2025-09-03-Ramada Encore by Wyndham Geneva.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Ramada Encore by Wyndham Geneva via Booking.com_ _6685253642-gfbc.kdcn.ww8x.y8ee@property.booking.com_/2025/08/1/body.html,2025-09-03,Ramada Encore by Wyndham Geneva,stay-related confirmation/reservation,8a7e17f8ae0ce7b73107a221be2813eb9840408f3642179d34b073553d4a93cf
duplicate,maybe/2025/09/2025-09-03-Ramada Encore by Wyndham Geneva.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Ramada Encore by Wyndham Geneva via Booking.com_ _6685253642-gfbc.kdcn.ww8x.y8ee@property.booking.com_/2025/08/2/body.html,,,duplicate of maybe/2025/09/2025-09-03-Ramada Encore by Wyndham Geneva.html,8a7e17f8ae0ce7b73107a221be2813eb9840408f3642179d34b073553d4a93cf
maybe,maybe/2025/04/2025-04-28-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _4388985124-4jgx.egxn.tjjk.hpgx@property.booking.com_/2025/04/1/body.html,2025-04-28,Starling Hotel Residence Geneve,stay-related confirmation/reservation,e41c81f6c040cef6d60e30402c304a764cc31829a70115dc12a6db6ce38860b2
maybe,maybe/2025/04/2025-04-28-Starling Hotel Residence Geneve-2.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _4388985124-4jgx.egxn.tjjk.hpgx@property.booking.com_/2025/04/6/body.html,2025-04-28,Starling Hotel Residence Geneve,stay-related confirmation/reservation,886f2409163b042476078f33645a484d6c34534338badd38b72ee9d1759315bd
confirmed,Invoices_hotel/2025/04/2025-04-29-Starling Hotel Residence Geneve.pdf,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _4388985124-4jgx.egxn.tjjk.hpgx@property.booking.com_/2025/04/3/ch009_efolio_e2024_2354458988.PDF,2025-04-29,Starling Hotel Residence Geneve,PDF has hotel/stay and strong invoice/folio terms,882abba309b3da8fc4e02ac2ab1ce96870540c518ca880fbf195b0ad0c23ab94
maybe,maybe/2025/04/2025-04-03-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _4388985124-4jgx.egxn.tjjk.hpgx@property.booking.com_/2025/04/3/body.html,2025-04-03,Starling Hotel Residence Geneve,stay-related payment/receipt signal but not a clear invoice,099c5fb027e750b014523195295110e2064d85bd39fd393ac20ba034f3922da6
duplicate,maybe/2025/04/2025-04-28-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _4388985124-4jgx.egxn.tjjk.hpgx@property.booking.com_/2025/04/5/body.html,,,duplicate of maybe/2025/04/2025-04-28-Starling Hotel Residence Geneve.html,e41c81f6c040cef6d60e30402c304a764cc31829a70115dc12a6db6ce38860b2
duplicate,maybe/2025/04/2025-04-28-Starling Hotel Residence Geneve-2.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _4388985124-4jgx.egxn.tjjk.hpgx@property.booking.com_/2025/04/2/body.html,,,duplicate of maybe/2025/04/2025-04-28-Starling Hotel Residence Geneve-2.html,886f2409163b042476078f33645a484d6c34534338badd38b72ee9d1759315bd
duplicate,Invoices_hotel/2025/04/2025-04-29-Starling Hotel Residence Geneve.pdf,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _4388985124-4jgx.egxn.tjjk.hpgx@property.booking.com_/2025/04/7/ch009_efolio_e2024_2354458988.PDF,,,duplicate of Invoices_hotel/2025/04/2025-04-29-Starling Hotel Residence Geneve.pdf,882abba309b3da8fc4e02ac2ab1ce96870540c518ca880fbf195b0ad0c23ab94
duplicate,maybe/2025/04/2025-04-03-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _4388985124-4jgx.egxn.tjjk.hpgx@property.booking.com_/2025/04/7/body.html,,,duplicate of maybe/2025/04/2025-04-03-Starling Hotel Residence Geneve.html,099c5fb027e750b014523195295110e2064d85bd39fd393ac20ba034f3922da6
duplicate,maybe/2025/04/2025-04-28-Starling Hotel Residence Geneve-2.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _4388985124-4jgx.egxn.tjjk.hpgx@property.booking.com_/2025/04/4/body.html,,,duplicate of maybe/2025/04/2025-04-28-Starling Hotel Residence Geneve-2.html,886f2409163b042476078f33645a484d6c34534338badd38b72ee9d1759315bd
maybe,maybe/2025/05/2025-05-13-Ramada Encore by Wyndham Geneva.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Ramada Encore by Wyndham Geneva via Booking.com_ _4675513302-jnsr.v75y.dgzt.jxtr@property.booking.com_/2025/05/1/body.html,2025-05-13,Ramada Encore by Wyndham Geneva,stay-related confirmation/reservation,4f84d35dceb3afddab25225f6085391490099279d4b0341618139f9c1e60759c
duplicate,maybe/2025/05/2025-05-13-Ramada Encore by Wyndham Geneva.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Ramada Encore by Wyndham Geneva via Booking.com_ _4675513302-jnsr.v75y.dgzt.jxtr@property.booking.com_/2025/05/6/body.html,,,duplicate of maybe/2025/05/2025-05-13-Ramada Encore by Wyndham Geneva.html,4f84d35dceb3afddab25225f6085391490099279d4b0341618139f9c1e60759c
duplicate,maybe/2025/05/2025-05-13-Ramada Encore by Wyndham Geneva.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Ramada Encore by Wyndham Geneva via Booking.com_ _4675513302-jnsr.v75y.dgzt.jxtr@property.booking.com_/2025/05/4/body.html,,,duplicate of maybe/2025/05/2025-05-13-Ramada Encore by Wyndham Geneva.html,4f84d35dceb3afddab25225f6085391490099279d4b0341618139f9c1e60759c
maybe,maybe/2025/07/2025-07-01-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/1/body.html,2025-07-01,Starling Hotel Residence Geneve,stay-related confirmation/reservation,21beac50881aeff5fcda6c1b932b428e51a8e9f44a2fb3023d5bcdfc358342a3
maybe,maybe/2025/07/2025-07-29-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/6/body.html,2025-07-29,Starling Hotel Residence Geneve,stay-related confirmation/reservation,ebaee39212733a2ce6d449c29aeb49d146ab2abfb4e9993d376646f3d7d1e9b5
duplicate,maybe/2025/07/2025-07-01-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/9/body.html,,,duplicate of maybe/2025/07/2025-07-01-Starling Hotel Residence Geneve.html,21beac50881aeff5fcda6c1b932b428e51a8e9f44a2fb3023d5bcdfc358342a3
maybe,maybe/2025/07/2025-07-13-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/13/body.html,2025-07-13,Starling Hotel Residence Geneve,stay-related confirmation/reservation,8046a4a36addf733c9bc45ef01e371804803b6ea86b02cffc03ebee5b28e13c7
duplicate,maybe/2025/07/2025-07-29-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/11/body.html,,,duplicate of maybe/2025/07/2025-07-29-Starling Hotel Residence Geneve.html,ebaee39212733a2ce6d449c29aeb49d146ab2abfb4e9993d376646f3d7d1e9b5
maybe,maybe/2025/07/2025-07-12-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/12/body.html,2025-07-12,Starling Hotel Residence Geneve,stay-related confirmation/reservation,2b5dec53de7d33919365263db566e9b2e2c66ba93e146e0a05a9087452592e3f
duplicate,maybe/2025/07/2025-07-13-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/8/body.html,,,duplicate of maybe/2025/07/2025-07-13-Starling Hotel Residence Geneve.html,8046a4a36addf733c9bc45ef01e371804803b6ea86b02cffc03ebee5b28e13c7
maybe,maybe/2025/07/2025-07-03-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/3/body.html,2025-07-03,Starling Hotel Residence Geneve,stay-related confirmation/reservation,20122a370954345799c7a745ca0186e2affabe14790dadf89a50486fa21211dc
duplicate,maybe/2025/07/2025-07-13-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/5/body.html,,,duplicate of maybe/2025/07/2025-07-13-Starling Hotel Residence Geneve.html,8046a4a36addf733c9bc45ef01e371804803b6ea86b02cffc03ebee5b28e13c7
duplicate,maybe/2025/07/2025-07-29-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/2/body.html,,,duplicate of maybe/2025/07/2025-07-29-Starling Hotel Residence Geneve.html,ebaee39212733a2ce6d449c29aeb49d146ab2abfb4e9993d376646f3d7d1e9b5
duplicate,maybe/2025/07/2025-07-03-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/10/body.html,,,duplicate of maybe/2025/07/2025-07-03-Starling Hotel Residence Geneve.html,20122a370954345799c7a745ca0186e2affabe14790dadf89a50486fa21211dc
maybe,maybe/2025/07/2025-07-07-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/7/body.html,2025-07-07,Starling Hotel Residence Geneve,stay-related confirmation/reservation,5797b0b344f93d38d42dd40c3cfd054995861e8ef12faa8c773b8c233846c0a9
maybe,maybe/2025/07/2025-07-04-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _5135170766-cw54.gnst.tnas.ebnq@property.booking.com_/2025/07/4/body.html,2025-07-04,Starling Hotel Residence Geneve,stay-related confirmation/reservation,f6a179c271b01286ab6ded922def51fc08a8779197d42c5a6e12ec99b3ac83ae
maybe,maybe/2026/02/2026-02-17-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _6282223277-ju4a.s5st.4vds.xpwa@property.booking.com_/2026/02/1/body.html,2026-02-17,Starling Hotel Residence Geneve,stay-related confirmation/reservation,9168fa0947db655fbd506cd7e23e38d58e1af545b008b9fae444bcc54d14b301
duplicate,maybe/2026/02/2026-02-17-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _6282223277-ju4a.s5st.4vds.xpwa@property.booking.com_/2026/02/6/body.html,,,duplicate of maybe/2026/02/2026-02-17-Starling Hotel Residence Geneve.html,9168fa0947db655fbd506cd7e23e38d58e1af545b008b9fae444bcc54d14b301
maybe,maybe/2026/02/2026-02-03-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _6282223277-ju4a.s5st.4vds.xpwa@property.booking.com_/2026/02/3/body.html,2026-02-03,Starling Hotel Residence Geneve,stay-related payment/receipt signal but not a clear invoice,a29e0e79b3def17f4d6231fcfef8605d4dbf9c9daab42f68969bc8931d256716
maybe,maybe/2026/02/2026-02-17-Starling Hotel Residence Geneve-2.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _6282223277-ju4a.s5st.4vds.xpwa@property.booking.com_/2026/02/5/body.html,2026-02-17,Starling Hotel Residence Geneve,stay-related confirmation/reservation,fe0a6d82c05eb05237fec0dbe8c1882f945940f733f00b724d5b3eea3980722c
duplicate,maybe/2026/02/2026-02-17-Starling Hotel Residence Geneve-2.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _6282223277-ju4a.s5st.4vds.xpwa@property.booking.com_/2026/02/2/body.html,,,duplicate of maybe/2026/02/2026-02-17-Starling Hotel Residence Geneve-2.html,fe0a6d82c05eb05237fec0dbe8c1882f945940f733f00b724d5b3eea3980722c
duplicate,maybe/2026/02/2026-02-03-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _6282223277-ju4a.s5st.4vds.xpwa@property.booking.com_/2026/02/7/body.html,,,duplicate of maybe/2026/02/2026-02-03-Starling Hotel Residence Geneve.html,a29e0e79b3def17f4d6231fcfef8605d4dbf9c9daab42f68969bc8931d256716
duplicate,maybe/2026/02/2026-02-03-Starling Hotel Residence Geneve.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Starling Hôtel Résidence Genève via Booking.com_ _6282223277-ju4a.s5st.4vds.xpwa@property.booking.com_/2026/02/4/body.html,,,duplicate of maybe/2026/02/2026-02-03-Starling Hotel Residence Geneve.html,a29e0e79b3def17f4d6231fcfef8605d4dbf9c9daab42f68969bc8931d256716
maybe,maybe/2025/10/2025-10-28-Nash Airport Hotel.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Nash Airport Hotel via Booking.com_ _6260589501-5kap.aneg.tdxq.6vay@property.booking.com_/2025/10/1/body.html,2025-10-28,Nash Airport Hotel,stay-related confirmation/reservation,f1cc241061c3db3a243d357ed2cbfbddc82b7b02e916ff802e67f63ddb4be5e6
duplicate,maybe/2025/10/2025-10-28-Nash Airport Hotel.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Nash Airport Hotel via Booking.com_ _6260589501-5kap.aneg.tdxq.6vay@property.booking.com_/2025/10/3/body.html,,,duplicate of maybe/2025/10/2025-10-28-Nash Airport Hotel.html,f1cc241061c3db3a243d357ed2cbfbddc82b7b02e916ff802e67f63ddb4be5e6
maybe,maybe/2025/10/2025-10-28-Nash Airport Hotel-2.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Nash Airport Hotel via Booking.com_ _6260589501-5kap.aneg.tdxq.6vay@property.booking.com_/2025/10/5/body.html,2025-10-28,Nash Airport Hotel,stay-related confirmation/reservation,5af24c90d00c2f320b6984b8270fa9911cf480e47efabb870512b5c2502cccdc
duplicate,maybe/2025/10/2025-10-28-Nash Airport Hotel-2.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Nash Airport Hotel via Booking.com_ _6260589501-5kap.aneg.tdxq.6vay@property.booking.com_/2025/10/2/body.html,,,duplicate of maybe/2025/10/2025-10-28-Nash Airport Hotel-2.html,5af24c90d00c2f320b6984b8270fa9911cf480e47efabb870512b5c2502cccdc
duplicate,maybe/2025/10/2025-10-28-Nash Airport Hotel.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Nash Airport Hotel via Booking.com_ _6260589501-5kap.aneg.tdxq.6vay@property.booking.com_/2025/10/4/body.html,,,duplicate of maybe/2025/10/2025-10-28-Nash Airport Hotel.html,f1cc241061c3db3a243d357ed2cbfbddc82b7b02e916ff802e67f63ddb4be5e6
maybe,maybe/2026/01/2026-01-05-Riad O LY.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Riad O LY via Booking.com_ _6286733441-ynyx.3aez.wxqr.xjtm@property.booking.com_/2025/12/1/body.html,2026-01-05,Riad O LY,stay-related payment/receipt signal but not a clear invoice,d7cca3d1b463b7794e21ec31367b595242aa110688b7386ccac62f0984097d10
maybe,maybe/2026/01/2026-01-05-Riad O LY-2.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Riad O LY via Booking.com_ _6286733441-ynyx.3aez.wxqr.xjtm@property.booking.com_/2025/12/6/body.html,2026-01-05,Riad O LY,stay-related payment/receipt signal but not a clear invoice,67872188044dd60de27b01b4e778d8e8ed092426fdae616e73c31432f2e5cae3
maybe,maybe/2026/01/2026-01-05-Riad O LY-3.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Riad O LY via Booking.com_ _6286733441-ynyx.3aez.wxqr.xjtm@property.booking.com_/2025/12/3/body.html,2026-01-05,Riad O LY,stay-related payment/receipt signal but not a clear invoice,2dc4790daea07828eecb3d46a5c4ceff6df4ef1ed7f68e13cd02c3d46711df1a
maybe,maybe/2026/01/2026-01-05-Riad O LY-4.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Riad O LY via Booking.com_ _6286733441-ynyx.3aez.wxqr.xjtm@property.booking.com_/2025/12/5/body.html,2026-01-05,Riad O LY,stay-related payment/receipt signal but not a clear invoice,79bc37dd367ee625e8913a6b5842e1c04eef802498aace80991a4b7721747a17
maybe,maybe/2026/01/2026-01-05-Riad O LY-5.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Riad O LY via Booking.com_ _6286733441-ynyx.3aez.wxqr.xjtm@property.booking.com_/2025/12/2/body.html,2026-01-05,Riad O LY,stay-related payment/receipt signal but not a clear invoice,91f2ae8c010042f0ec5093118e3a5c07b404b2ec255189d523edd2473fb5ce2b
maybe,maybe/2026/01/2026-01-05-Riad O LY-6.html,/home/seb/IdeaProjects/test/all-mails/property.booking.com/_Riad O LY via Booking.com_ _6286733441-ynyx.3aez.wxqr.xjtm@property.booking.com_/2025/12/4/body.html,2026-01-05,Riad O LY,stay-related payment/receipt signal but not a clear invoice,7185e5f4f83712352e413077ad789ef561849115375766235b2c960b41563da8
